site,trap,period
076361,M1,S1
076361,M1,S2
081090,M1,S1
081090,M1,S2
123545,M1,S1
123545,M1,S2
124031,M1,S1
124031,M2,S1
124031,M1,S2
124031,M2,S2
128101,M1,S1
128101,M1,S2
129276,M1,S1
129276,M1,S2
130101,M1,S1
130101,M1,S2
130102,M1,S1
130102,M2,S1
130102,M1,S2
131067,M1,S1
131067,M1,S2
134101,M1,S1
134101,M2,S1
134101,M1,S2
135431,M1,S1
135431,M1,S2
146764,M1,S1
146764,M2,S1
146764,M1,S2
150732,M1,S1
150732,M2,S1
150732,M1,S2
150732,M2,S2
150801,M1,S1
150801,M2,S1
150801,M1,S2
150801,M2,S2
150802,M1,S1
150802,M1,S2
155365,M1,S1
155365,M1,S2
159408,M1,S1
159408,M2,S1
159408,M1,S2
159408,M2,S2
161191,M1,S1
161191,M1,S2
179439,M1,S1
179439,M1,S2
207746,M1,S1
207746,M2,S1
207746,M1,S2
207746,M2,S2
217961,M1,S1
217961,M1,S2
248762,M1,S1
248762,M2,S1
248762,M1,S2
248762,M2,S2
252447,M1,S1
252447,M2,S1
252447,M1,S2
252447,M2,S2
257002,M1,S1
257002,M1,S2
258173,M1,S1
258173,M1,S2
268355,M1,S1
268355,M2,S1
268355,M1,S2
268355,M2,S2
268413,M1,S1
268413,M1,S2
279822,M1,S1
279822,M1,S2
280500,M1,S1
280500,M1,S2
286789,M1,S1
286789,M1,S2
287338,M1,S1
287338,M1,S2
292528,M1,S1
292528,M1,S2
301004,M1,S1
301004,M2,S1
301004,M1,S2
301004,M2,S2
307043,M1,S1
307043,M1,S2
335225,M1,S2
357256,M1,S1
357256,M2,S1
357256,M1,S2
357256,M2,S2
361840,M1,S1
361840,M1,S2
364070,M1,S1
364070,M1,S2
367193,M1,S1
367193,M1,S2
372502,M1,S1
372502,M2,S1
372502,M1,S2
378882,M1,S1
378882,M2,S1
378882,M1,S2
378882,M2,S2
400605,M1,S1
400605,M1,S2
544292,M1,S1
544292,M1,S2
593665,M1,S2
594580,M1,S1
594580,M1,S2
601725,M1,S1
601725,M2,S1
601725,M1,S2
601725,M2,S2
622337,M1,S1
622337,M1,S2
642613,M1,S1
642613,M1,S2
647830,M1,S1
647830,M1,S2
650846,M1,S1
650846,M1,S2
652934,M1,S1
652934,M2,S1
652934,M1,S2
652934,M2,S2
700226,M1,S1
700226,M2,S1
700226,M1,S2
700226,M2,S2
700239,M1,S1
700239,M1,S2
HOBO-014,M1,S1
HOBO-014,M1,S2
HOBO-016,M1,S2
HOBO-032,M1,S1
HOBO-032,M2,S1
HOBO-032,M1,S2
HOBO-032,M2,S2
HOBO-036,M2,S1
HOBO-036,M1,S2
HOBO-036,M2,S2
HOBO-053,M1,S1
HOBO-053,M1,S2
HOBO-055,M1,S1
HOBO-055,M2,S1
HOBO-055,M1,S2
HOBO-060,M1,S1
HOBO-060,M1,S2
HOBO-063,M1,S1
HOBO-063,M2,S1
HOBO-063,M1,S2
HOBO-063,M2,S2
HOBO-211,M1,S1
HOBO-211,M2,S1
HOBO-211,M1,S2
HOBO-216,M1,S1
HOBO-216,M1,S2
HOBO-233,M1,S1
HOBO-233,M1,S2
HOBO-242,M1,S1
HOBO-242,M1,S2
HOBO-265,M1,S1
HOBO-265,M1,S2
HOBO-270,M1,S1
HOBO-270,M2,S1
HOBO-270,M1,S2
HOBO-270,M2,S2
HOBO-273,M1,S1
HOBO-273,M1,S2
HOBO-304,M1,S1
HOBO-304,M2,S1
HOBO-304,M1,S2
HOBO-304,M2,S2
HOBO-308,M1,S1
HOBO-308,M1,S2
HOBO-310,M1,S1
HOBO-310,M2,S1
HOBO-310,M1,S2
HOBO-310,M2,S2
HOBO-312,M1,S1
HOBO-312,M1,S2
HOBO-315,M1,S1
HOBO-315,M2,S1
HOBO-315,M1,S2
HOBO-317,M1,S2
HOBO-331,M1,S1
HOBO-331,M1,S2
HOBO-333,M1,S1
HOBO-333,M2,S1
HOBO-333,M1,S2
HOBO-333,M2,S2
HOBO-335,M1,S1
HOBO-335,M2,S1
HOBO-335,M1,S2
HOBO-335,M2,S2
HOBO-341,M1,S1
HOBO-341,M1,S2
HOBO-345,M1,S1
HOBO-345,M1,S2
HOBO-347,M1,S1
HOBO-347,M1,S2
HOBO-347,M2,S2
HOBO-349,M1,S1
HOBO-349,M1,S2
HOBO-351,M1,S1
HOBO-353,M1,S1
HOBO-353,M1,S2
HOBO-357,M1,S1
HOBO-357,M2,S1
HOBO-357,M1,S2
SM-01,M1,S1
SM-01,M2,S1
SM-01,M1,S2
SM-02,M1,S1
SM-02,M1,S2
SM-03,M1,S1
SM-03,M1,S2
SM-04,M1,S1
SM-04,M1,S2
SM-05,M1,S1
SM-05,M1,S2
SM-06,M1,S1
SM-06,M2,S1
SM-06,M1,S2
SM-06,M2,S2
SM-07,M1,S1
SM-07,M1,S2
SM-08,M1,S1
SM-08,M1,S2
SM-09,M1,S1
SM-09,M2,S1
SM-09,M1,S2
SM-09,M2,S2
SM-PG,M1,S1
SM-PG,M1,S2
