"cor", "rowname", "colname", "spp1", "spp2"
-0.530977800143166, "850", "147", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R1182_210__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_ADQ9158_size.64"
-0.509136939911879, "850", "294", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R2967_29__Insecta_Coleoptera_Cleridae_Enoclerus_NA_BOLD_AAG5716_size.207"
-0.505698965722967, "850", "515", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R782_203__Insecta_Lepidoptera_Blastobasidae_Asaphocrita_sp_BOLD_AAG8586_size.2"
-0.504450605622783, "850", "292", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R917_167__Insecta_Orthoptera_NA_NA_sp_BOLD_ACP1661_size.106"
-0.502509806148545, "850", "146", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R407_222__Insecta_Lepidoptera_Pterophoridae_Adaina_sp_BOLD_AAG1474_size.8"
-0.502121892456573, "850", "8", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R2910_16__Insecta_Diptera_BOLD_AAH2298_size.184"
-0.498726105704042, "850", "295", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R1396_172__Insecta_Diptera_Dolichopodidae_Medetera_NA_BOLD_ACD0799_size.24"
-0.498322468399434, "850", "327", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R5016_2__Insecta_Diptera_Dolichopodidae_NA_sp_BOLD_ACT7566_size.23"
-0.496868303314937, "409", "850", "R3568_2__Insecta_Lepidoptera_Tineidae_NA_NA_BOLD_ADC2083_size.258", "R3124_8__Insecta_Hymenoptera_Ichneumonidae_Coelichneumon_NA_BOLD_AAG7679_size.4"
-0.496391589639732, "850", "502", "R2374_21__Insecta_Coleoptera_BOLD_AAN6063_size.45", "R2715_65__Insecta_Lepidoptera_Gelechiidae_Chionodes_NA_BOLD_AAI4285_size.185"
0.91147150064191, "130", "52", "R1101__Insecta_Coleoptera_Cerambycidae_Pidonia_Pidonia_scripta_BOLD_AAD6095_size.66", "R995_212__Insecta_Hymenoptera_Diapriidae_NA_sp_BOLD_AAM7502_size.11"
0.912109262162439, "173", "6", "R3151_6__Insecta_Psocodea_BOLD_ACD8202_size.253", "R1063_28__Insecta_Diptera_Rhagionidae_Symphoromyia_sp_BOLD_AAP6399_size.99"
0.91370111417634, "288", "289", "R2662_74__Insecta_Diptera_Chironomidae_Chironomus_NA_BOLD_ACL4081_size.45", "R269__Insecta_Hemiptera_Cicadellidae_Gyponana_sp_BOLD_AAG8946_size.50"
0.915582311794053, "53", "73", "R1225_154__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACG6395_size.20", "R2576_2__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACJ0826_size.884"
0.916615376946646, "165", "164", "R447__Insecta_Diptera_Mycetophilidae_Mycomya_sp_BOLD_ACJ6978_size.57", "R905_109__Insecta_Diptera_Hybotidae_NA_NA_BOLD_ACZ0135_size.13"
0.917736131809177, "192", "191", "R1_3__Arachnida_Opiliones_Phalangiidae_Leptobunus_sp_BOLD_ACI7739_size.2111", "R1815_87__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACI9213_size.20"
0.919295402220069, "408", "356", "R2041_12__Insecta_Coleoptera_Ampedidae_Ampedus_Ampedus_phoenicopterus_BOLD_ACA3174_size.167", "R1183_222__Insecta_Coleoptera_BOLD_ACI2933_size.9"
0.923945083430484, "107", "106", "R2678_7__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6997_size.972", "R2913_41__Insecta_Diptera_Limoniidae_Dicranoptycha_NA_BOLD_ADC2213_size.50"
0.926195455925868, "57", "88", "R1105_28__Insecta_Diptera_Therevidae_Thereva_sp_BOLD_AAP6533_size.16", "R3251_24__Insecta_Hymenoptera_NA_NA_sp_BOLD_ACX0918_size.9"
0.926435885232986, "92", "192", "R2758_7__Insecta_Diptera_NA_NA_NA_BOLD_AAZ6320_size.27", "R306_18__Insecta_Lepidoptera_Geometridae_Nepytia_Nepytia_umbrosaria_BOLD_AAC8504_size.843"
